pattern,raw_json_replies
ABACD,"[('1532601569128202240', ""@Nour_El_Khoury @RamziNassif @ramezelkadi I hope you're being sarcastic because i have personal acquaintances who know Ibrahim &amp; this couldn't be furthest from the truth.\n\nIf anything this is proving that HA &amp; LF base are equally/ignorantly shooting themselves in the foot to keep the country bleeding for another 4 years."", 'Toufiicc|815662243', '2022-06-03T05:54:23.000Z'), ('1532600661518458881', '@Toufiicc @RamziNassif @ramezelkadi Trust me bro', 'Nour_El_Khoury|212541264', '2022-06-03T05:50:46.000Z'), ('1532361404212191234', '@RamziNassif @ramezelkadi عأي اساس مرشح ٨ اذار؟ 🤔', 'Toufiicc|815662243', '2022-06-02T14:00:03.000Z'), ('1532356476945276930', '@ramezelkadi برافو، مرشح ٨ اذار', 'RamziNassif|2868866713', '2022-06-02T13:40:28.000Z'), ('1532341606438813697', 'بدل إستيراد أسماء لرئاسة الحكومة مش سامعينلن موقف من قبل(كرمال ما يزعلوا حدا) ولا شو مشروعن..\nلماذا لا يُسمى مثلاً إبراهيم منيمنة من قِبل النواب التغييرين فهو يتمتع بكل الصفات المطلوبة وأهمها وضوح الموقف والمشروع السياسي', 'ramezelkadi|293455931', '2022-06-02T12:41:23.000Z')]"
ABCDE,"[('1532601218576662533', '@Buffy_Raw @jellyjett @DanniRose24 @NoPauseTv_ He was being sarcastic in response to the comment he’s responding to. He means exactly wheat ur saying rn, that he couldn’t just leave since he was being attacked', 'FatalFifth|1271836685312163840', '2022-06-03T05:52:59.000Z'), ('1532533400761942019', '@jellyjett @DanniRose24 @NoPauseTv_ Nigga shut yo punk ass up. So if a big fat dollar tree manger that’s probably not gettin paid that much start pulling u to the door by ya hair is u gonna wanna leave calmly.', 'Buffy_Raw|994598820', '2022-06-03T01:23:30.000Z'), ('1532489049390190592', '@DanniRose24 @NoPauseTv_ yes because he could’ve just left when his hair was being pulled', 'jellyjett|720057707', '2022-06-02T22:27:16.000Z'), ('1532359114189426688', '@NoPauseTv_ Why wouldnt he just leave the store…..', 'DanniRose24|335497905', '2022-06-02T13:50:57.000Z'), ('1532199013897977856', 'Part 2 to the fkry that took place in Dollar Tree... The worker was charged with assault https://t.co/Xharz2Txq3', 'NoPauseTv_|1064749894617972736', '2022-06-02T03:14:46.000Z')]"
,[]
ABCD,"[('1532596484708962304', '@TamaraBMS @Chooch12121 @johnrich Bitch he knew, he was being fucking sarcastic', 'spacesam17|741446546844221441', '2022-06-03T05:34:10.000Z'), ('1532494102537076737', '@Chooch12121 @johnrich All Republicans voted against it. Pay attention.', 'TamaraBMS|768329737', '2022-06-02T22:47:21.000Z'), ('1532491980021739521', ""@johnrich Maybe Bidens plan should be to enact a bill against price gouging by the oil companies.  Who wouldn't be for that?"", 'Chooch12121|756863693766275072', '2022-06-02T22:38:55.000Z'), ('1532458277753307143', 'Maybe Biden\'s plan is to get gasoline to $10 a gallon, that way when it drops back down to $4.50 a gallon he can claimed he ""solved the crisis"" and we\'ll all be so thankful to our king. He\'s such a strategist. Brilliant, really.', 'johnrich|16869718', '2022-06-02T20:24:59.000Z')]"
AB,"[('1532596180923797505', '@AnnCoulter She is being sarcastic.', 'SugKCK|1235037886036180992', '2022-06-03T05:32:58.000Z'), ('1532518549553569792', 'I TOTALLY trust a government that thinks ""white supremacy"" is the greatest domestic threat to administer ""red flag"" laws even-handedly.', 'AnnCoulter|196168350', '2022-06-03T00:24:29.000Z')]"
AB,"[('1532594990358179841', '@PopDataMusic @PostMalone @DojaCat I feel like you were being sarcastic when you said “handsome”😭', 'adeleismyqueen2|1468767162412244996', '2022-06-03T05:28:14.000Z'), ('1532574724705992704', '📸 | @PostMalone looks handsome as ever on the cover of this week\'s ""Today\'s Top Hits"" Spotify playlist with “I Like You You (A Happier Song)” with @DojaCat at #1. 🦋 https://t.co/EjXlQ2edN6', 'PopDataMusic|834927504968278016', '2022-06-03T04:07:42.000Z')]"
AB,"[('1532594487809409024', ""@hannahw879 You forgot to put the /s on the end so people know you're being sarcastic."", 'BrandonSnarkAU|978077869254430720', '2022-06-03T05:26:14.000Z'), ('1532336456127107075', 'This woman makes me feel extremely safe. I would want her fighting my corner. https://t.co/z17QnhMpao', 'hannahw879|3674012897', '2022-06-02T12:20:55.000Z')]"
ABCDE,"[('1532594169155305475', ""@RayLangford6119 @Hairyloon @ChrissieGrech @Nikkipage44 @Tobias_Ellwood I think that he was being sarcastic. Sometimes it's difficult to convey on social media."", 'BoyCharioteer|1239622891', '2022-06-03T05:24:58.000Z'), ('1532455795220176896', '@Hairyloon @ChrissieGrech @Nikkipage44 @Tobias_Ellwood This is one dumb tweet. https://t.co/tKdvCwlDGu', 'RayLangford6119|1926990182', '2022-06-02T20:15:07.000Z'), ('1532418528732758016', ""@ChrissieGrech @Nikkipage44 @Tobias_Ellwood If we'd still been in the EU, we wouldn't be allowed to have the Jubilee..."", 'Hairyloon|202191697', '2022-06-02T17:47:02.000Z'), ('1532417188803530757', ""@Nikkipage44 @Tobias_Ellwood This must be the thickest tweet I've seen all year - and that's saying something. How did being members of a strong peace project and biggest trading bloc in the world prevent us from exercising our sovereignty? Just explain this please."", 'ChrissieGrech|39496081', '2022-06-02T17:41:43.000Z'), ('1532331972479135747', 'I hope @Tobias_Ellwood &amp; Michael Heseltine are watching the crowds &amp; the wonder of the jubilee celebrations in the Mall and understand how deep rooted sovereignty is in the British people 🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧', 'Nikkipage44|1122498158548979712', '2022-06-02T12:03:06.000Z')]"
AB,"[('1532591949760417792', '@BarcelonaTrey12 I think he is being sarcastic', 'damzo_official|1478290308052004865', '2022-06-03T05:16:09.000Z'), ('1532562558355644417', 'Why do such fans even exist. Yes he is having a good time but the only deserved winner of that ferrero rocher is benzema. This guys be comparing CL to a domestric trophy in france https://t.co/UuEpZE90w2', 'TheCruyffEra|1313740859720953856', '2022-06-03T03:19:22.000Z')]"
,[]
ABACD,"[('1532590930607452160', '@CrzyGmerYsh1 Nah, Barbapapa is a Zorotard who is known to have made stupid ""arguments"" in the past. Idk how u would know that they\'re being sarcastic in the first place.', 'ChadenKozuki|1486507706429153285', '2022-06-03T05:12:06.000Z'), ('1532578215537037318', ""@ChadenKozuki @WstdSoul They're being sarcastic, if you can't figure that out"", 'CrzyGmerYsh1|1479116441932558345', '2022-06-03T04:21:35.000Z'), ('1532352699538321409', '@WstdSoul Kaido when it comes to Oden vs Kaido when it comes to Kinemon and the Scabbards. https://t.co/pHivrQgNNC', 'ChadenKozuki|1486507706429153285', '2022-06-02T13:25:27.000Z'), ('1532289946111070208', '@longlivejulien1 Oden passed out from a no named attack.\nKinemon muscled through Ragnaraku.', 'WstdSoul|702394344003784704', '2022-06-02T09:16:06.000Z'), ('1532199536621404160', '#ONEPIECE1051 #ONEPIECE \n\nHe thinks he’s him😭😭 https://t.co/z71bhst8bq', 'longlivejulien1|1095366875620540418', '2022-06-02T03:16:51.000Z')]"
,[]
,[]
,[]
AB,"[('1532586520347037697', ""@foster_lexx I am angry too but please do not encourage them in this way. I realize you're being sarcastic but it is extremely triggering to many. It's bad enough to see these posts, it's even worse watching someone encourage them. Please be kind💕"", 'yikesbroskiii|1472555839844233220', '2022-06-03T04:54:35.000Z'), ('1532421309388541955', ""Why did you go to the hospital? \n\nYou could have stayed home, you deãťh would have helped push the #cutforAmber movement to greater heights.\n\nYou're not a true Amber fan. I'm disgusted by your fake alliance. https://t.co/3vwUapXMy1"", 'foster_lexx|3946901669', '2022-06-02T17:58:05.000Z')]"
,[]
AB,"[('1532584738342305793', ""@MehrsaBaradaran I can't tell if you are being sarcastic with Corporate Tool Wine Cave Pete..."", 'James_Blond00D|797057676865916928', '2022-06-03T04:47:30.000Z'), ('1532443434857811968', 'Look at whose experience with lights under bridges and sidewalk revitalization turned out to be really useful! https://t.co/UtYFlphLKl', 'MehrsaBaradaran|1394944982', '2022-06-02T19:26:00.000Z')]"
A,"[('1532583509239398401', 'After watching Kyle &amp; Sutton conversation she was actually being sarcastic when she said yea I didn’t have a gun to my head due to Kyle attempting to minimize what Sutton was going through #RHOBH', 'JaxOnTheCouch|838922111183904768', '2022-06-03T04:42:37.000Z')]"
ABABC,"[('1532583278187773952', '@Replying2Trash @MattWalshBlog Not the ones from the article you posted. Anyway, what\'s the deal with your profile pic? I hope you\'re just trolling or being sarcastic because... ain\'t no way ""Palestinians"" are going to accept anything. They\'re stuck in  1095 AD', 'ReluctantCyborg|1501438339026755588', '2022-06-03T04:41:42.000Z'), ('1532533334756270080', ""@ReluctantCyborg @MattWalshBlog These chickens are hermaphrodites. That's a form of intersex. https://t.co/zcgsh3aLrd"", 'Replying2Trash|1299491702928027649', '2022-06-03T01:23:14.000Z'), ('1532500565095219206', '@Replying2Trash @MattWalshBlog The point of the article is that the cells have chromosomes and may play a role in chicken biology. The word intersex is not in the article. I have two old schoolmates that are intersex and wish the Trans would leave them alone and out of the lgbtqetc soup.', 'ReluctantCyborg|1501438339026755588', '2022-06-02T23:13:01.000Z'), ('1532350522157682689', '@MattWalshBlog Wait till conservatives find out about intersex chickens. https://t.co/yv6X2LSKxZ', 'Replying2Trash|1299491702928027649', '2022-06-02T13:16:48.000Z'), ('1532347722111516672', 'This is why they don’t want you to see #WhatIsAWoman. It’s because of moments like this. Gender ideology is an insane, incoherent mess. https://t.co/p5m2RIbKff', 'MattWalshBlog|1500129642', '2022-06-02T13:05:41.000Z')]"
AB,"[('1532582026104250368', '@YoletteSaintiny @Rejoice_Holy I don’t think he meant that 3 billion people should die in Africa he is being sarcastic', 'Drisc4Dris|1265658403025797121', '2022-06-03T04:36:43.000Z'), ('1531857443256401920', 'Jesus. Jesus. Jesus. Jesus... @Rejoice_Holy \nWaiting on Jesus👇🏾 https://t.co/G1k9bvPc3G https://t.co/q5z9AEtz7Q', 'YoletteSaintiny|1293147027816222720', '2022-06-01T04:37:29.000Z')]"
,[]
ABCD,"[('1532580617422090242', '@runningman747 @PeeDeeTee2 @politvidchannel I hope you are just being sarcastic Sean?! I am certain you are: Thanks for playing the Devil’s avodcate.  I don’t care if it is a Rep or Dem running for the Presidency; as long as their credentials aren’t one of a television reality show!!!!!', 'Freedom36044178|1310347747401388033', '2022-06-03T04:31:07.000Z'), ('1532451151584673795', '@PeeDeeTee2 @politvidchannel No things were shitty under Trump', 'runningman747|843431230255349761', '2022-06-02T19:56:40.000Z'), ('1532421419992109056', '@politvidchannel This is funny.  Depends very much on where the poll was taken.  Most I talk to would flip those two.  Or maybe put Carter in there as the worst…. Hard to say.  Anyway, things were much better under Trump than Biden!  So there’s that…', 'PeeDeeTee2|4678887378', '2022-06-02T17:58:32.000Z'), ('1532372524826185728', 'BREAKING: President Trump was named the worst President in U.S history in new poll\n\nPresident Obama was named the best in U.S history', 'politvidchannel|4878610324', '2022-06-02T14:44:14.000Z')]"
ABCD,"[('1532579867362873351', '@madsiesss @DixetiaTV @Asmongold I know he acts like he is being sarcastic but it’s are to take it as a joke lately xD', 'CodoSama|1944940597', '2022-06-03T04:28:08.000Z'), ('1532540662259793926', ""@DixetiaTV @Asmongold he's being sarcastic lol, he hates p2w he has stated many times, he makes wayy more back from streaming anyway"", 'madsiesss|1074718363782443008', '2022-06-03T01:52:21.000Z'), ('1532510753466482700', '@Asmongold ""Only"". Shouldn\'t have sent them a single fucking penny.', 'DixetiaTV|961240465197752321', '2022-06-02T23:53:30.000Z'), ('1532510296283152399', ""Had a pretty disappointing first day on Diablo Immortal. \n\nPlayed for over 5 hours but only managed to spend 347 dollars\n\nSorry to let you guys down, we'll have to come back stronger next time"", 'Asmongold|147039284', '2022-06-02T23:51:41.000Z')]"
ABC,"[('1532578935413755904', ""@Casanovadeblanc @DrGJackBrown I know you think you're being sarcastic..."", 'seanyeomans|15368616', '2022-06-03T04:24:26.000Z'), ('1532525522948874240', '@DrGJackBrown GEENYUS https://t.co/twbrOApIeo', 'Casanovadeblanc|1513639101639049221', '2022-06-03T00:52:12.000Z'), ('1532473708626907136', ""Gun manufacturers who sell assault rifles (or any firearm) on credit — legally own the firearm until it's paid off — so they're also legally responsible for any crime committed with it."", 'DrGJackBrown|212445456', '2022-06-02T21:26:18.000Z')]"
AAA,"[('1532578185451282432', ""i mean to say it's already going hard in the first couple minutes. i was not making a sarcastic comment about the opening credits being long."", 'Cardinal_Arts|478789692', '2022-06-03T04:21:27.000Z'), ('1532577952944332802', 'i am 7 minutes in. half of those were the opening credit. this goes so hard.', 'Cardinal_Arts|478789692', '2022-06-03T04:20:32.000Z'), ('1532576163775844352', 'it is 11:13 pm and i am starting a 3 hr movie https://t.co/ybNEboGquA', 'Cardinal_Arts|478789692', '2022-06-03T04:13:25.000Z')]"
ABACBCD,"[('1532576223645138947', '@vinsinners @AbhimanyuX_ @mgnayak5 @veena_00000 Yes, we can agree to disagree. However, I am curious to understand why you think he is being sarcastic.', 'PriyaManthri30|1292872124273582080', '2022-06-03T04:13:40.000Z'), ('1532567638832222208', '@PriyaManthri30 @AbhimanyuX_ @mgnayak5 @veena_00000 Then you’ve got it TOTALLY wrong!', 'vinsinners|27864689', '2022-06-03T03:39:33.000Z'), ('1532441117362311168', ""@AbhimanyuX_ @vinsinners @mgnayak5 @veena_00000 Unfortunately I don't think he is sarcastic."", 'PriyaManthri30|1292872124273582080', '2022-06-02T19:16:48.000Z'), ('1532435465680596993', ""@vinsinners @mgnayak5 @veena_00000 That's a ray of hope."", 'AbhimanyuX_|1499390617776189442', '2022-06-02T18:54:20.000Z'), ('1532434546863525903', '@AbhimanyuX_ @mgnayak5 @veena_00000 It is!', 'vinsinners|27864689', '2022-06-02T18:50:41.000Z'), ('1532411061688799239', '@mgnayak5 @veena_00000 Please tell me this is sarcasm ?', 'AbhimanyuX_|1499390617776189442', '2022-06-02T17:17:22.000Z'), ('1532362596019748864', 'So Called RW’s Please Learn something from Half Scientist https://t.co/DmhtM8TFkF', 'mgnayak5|142238984', '2022-06-02T14:04:47.000Z')]"
ABCD,"[('1532574171766542337', '@leayzednanreh @YashTrading @notmrmanziel Pretty sure he was being sarcastic there guy', 'JoshByram|1349025431047925761', '2022-06-03T04:05:31.000Z'), ('1532463047108878337', '@YashTrading @notmrmanziel Imagine thinking you can pump AMZN, it’s a $2k stock, millions of volume each day. There’s no way someone with a limited amount of people on a discord could pump a company like that. Get your head out of your ass', 'leayzednanreh|700297899', '2022-06-02T20:43:56.000Z'), ('1532462664105857025', '@notmrmanziel Bro it’s cause u pumped Amzn cons 🤡😐', 'yashveertrades|4384716573', '2022-06-02T20:42:25.000Z'), ('1532462565837660168', 'I’ve put out a ridiculous amount of free game on here the last two weeks \n\n$SPY $QQQ \n\n$AMZN (10x) $NFLX \n\nStill people only want to talk negative.', 'notmrmanziel|1338306457511600130', '2022-06-02T20:42:02.000Z')]"
,[]
,[]
ABABC,"[('1532570343310823430', '@Tianhuisthegoat @poojieapo @aposhyshycat Oh ohhh so It WAS sarcasm...I kinda considered it an option since you guys didn\'t liked it but I wasn\'t seeing anything negative ...so I thought ""Maybe they\'re being sarcastic?"" 🤔...ok it makes sense now thanks 😅👌', 'Taekook19948507|1129939933270020096', '2022-06-03T03:50:18.000Z'), ('1532558070479716352', '@Taekook19948507 @poojieapo @aposhyshycat They were being sarcastic abt most of the actors they posted abt, saying that the actors should have done way more than just post support on social media and such. In my opinion the post was made in bad faith, but if you don’t agree that’s also fine&lt;3', 'Tianhuisthegoat|1465953772891377670', '2022-06-03T03:01:32.000Z'), ('1532464177977098240', ""@Tianhuisthegoat @poojieapo @aposhyshycat Why tho? I'm reading the thread and it looks like a news post of a entertainment magazine where they point out celebrities actions during a special date of the year 🤔 ...I'd really like to see what you're seeing that I'm not seeing🧐🤔🤔👀"", 'Taekook19948507|1129939933270020096', '2022-06-02T20:48:26.000Z'), ('1532397942929121288', '@poojieapo @aposhyshycat Saw this thread a few hours ago before Mile and Apo were added but I hated it already. This person has an unhealthy amount of negative energy and is trying to pass it off as humour😫😫😫', 'Tianhuisthegoat|1465953772891377670', '2022-06-02T16:25:14.000Z'), ('1532395560594026496', ""in a month of celebration you really had to bring this type of negativity? you seriously talking about maxtul and mileapo when they've been supporting this community non-stop?? how are people actually laughing at this? disappointed. https://t.co/YTtpLmM898"", 'poojieapo|1227973373348777984', '2022-06-02T16:15:46.000Z')]"
,[]
,[]
,[]
ABC,"[('1532567590752686092', '@zoethenpc @BlargMyShnoople I think he is being sarcastic', 'Katakuri_og666|1515468341942620161', '2022-06-03T03:39:22.000Z'), ('1532565930282131456', '@BlargMyShnoople Sounds like hell to me', 'zoethenpc|1337683664465842176', '2022-06-03T03:32:46.000Z'), ('1532565726472638483', 'There is nothing better than being busy from the second I wake up till the second I go to bed. I absolutely love that shit.', 'BlargMyShnoople|823385287', '2022-06-03T03:31:57.000Z')]"
ABCD,"[('1532566140345585666', ""@BottleTherapy73 @Minnesotapips @littlemissmarxi The guy above doesn't seem to have grasped the concept. At first I thought he was being sarcastic, but then I realized he was seriius."", 'VoiceOf64108256|1127041910584041475', '2022-06-03T03:33:36.000Z'), ('1532565093791068161', '@Minnesotapips @littlemissmarxi Thank you, historian. We never knew! 😂😂😂', 'BottleTherapy73|2218537566', '2022-06-03T03:29:26.000Z'), ('1532546320401055763', '@littlemissmarxi They don’t even know what 1776 is all about. They think it was some magical day of freedom or something. The fight for independence began years before and lasted years after. Unless they have their own declaration of something, it’s meaningless, just like Stump…', 'Minnesotapips|224376687', '2022-06-03T02:14:50.000Z'), ('1532503294018453511', 'I just called a guy with a 1776 shirt a piece of shit in the airport. He swiftly put on a sweatshirt. Well regulated militia gets scared of a 5 foot woman? 😂', 'littlemissmarxi|1472352735513100293', '2022-06-02T23:23:52.000Z')]"
AB,"[('1532565601209786368', '@ratkrampus I think he was being sarcastic. Was a written interview so it was hard to pick up his tone', 'xiegray|1013640303033667584', '2022-06-03T03:31:27.000Z'), ('1532366865007521802', 'I rlly don’t think the “taika found the kiss weird to film” thing is as big of a deal as ppl are making it out to be', 'ratkrampus|1247217234595979268', '2022-06-02T14:21:45.000Z')]"
,[]
ABABACD,"[('1532564507654033417', '@aus_mich @CQuill97 @DiscussingFilm @krolljvar Did you not get that i was being sarcastic? Im well aware who Sam Raimi is... Spider-Man 2 is why i love film and Spider-Man. I love his Spider-Man films although 1 and 3 are fairly poorly made but at least 3 had more tonal consistency than 1', 'Reelfilms1998|1107911359', '2022-06-03T03:27:06.000Z'), ('1532563337455800326', '@Reelfilms1998 @CQuill97 @DiscussingFilm @krolljvar You should try it. The same director who did MoM (“no stakes consequences, or tension”) did the Evil Dead movies and the OG Spider-Man. I mean a “film fan” such as yourself should be excited when a franchise quickly becoming milquetoast takes creative risks. I certainly am! https://t.co/Jv6V8zgjyk', 'aus_mich|861680797241290754', '2022-06-03T03:22:27.000Z'), ('1532555513547956228', '@aus_mich @CQuill97 @DiscussingFilm @krolljvar Nope. Never heard of that 🤦🏻\u200d♂️', 'Reelfilms1998|1107911359', '2022-06-03T02:51:22.000Z'), ('1532377671413510144', '@Reelfilms1998 @CQuill97 @DiscussingFilm @krolljvar You do know that other movies exist, right? And that they also have directors?', 'aus_mich|861680797241290754', '2022-06-02T15:04:41.000Z'), ('1532326981173379075', '@CQuill97 @DiscussingFilm @krolljvar Yeah but when that happens you get something like MoM which feels like theres no stakes, consequences or tension', 'Reelfilms1998|1107911359', '2022-06-02T11:43:16.000Z'), ('1532319676264587265', '@DiscussingFilm @krolljvar Kevin Feige when I tell him he can just let directors direct the movie. https://t.co/AruJAPkaQB', 'CQuill97|1074292553242034176', '2022-06-02T11:14:14.000Z'), ('1532316103485136898', 'Kevin Feige is taking a lot of shots at big names to direct ‘FANTASTIC FOUR’ but a decision will not be made soon.\n\n“Feige doesn’t want oversee the entire shoot &amp; after not having to worry about that with Raimi, he is very game to same outcome with this shoot.”\n\n(via: @krolljvar) https://t.co/UQ2zEf9xa2', 'DiscussingFilm|780460754910732288', '2022-06-02T11:00:02.000Z')]"
ABABABABABABABABABABA,"[('1532562450951938054', ""@FREISHUTZ Can't tell if you're being sarcastic or genuine, but no problem anyway."", 'safelydrunk|1510080753878675459', '2022-06-03T03:18:56.000Z'), ('1532562340821860352', '@safelydrunk How considerate of you.', 'FREISHUTZ|1519845863538913280', '2022-06-03T03:18:30.000Z'), ('1532562074668343306', ""@FREISHUTZ Mmm... Don't wanna risk it and destroy it on accident."", 'safelydrunk|1510080753878675459', '2022-06-03T03:17:26.000Z'), ('1532561228534452224', '@safelydrunk [Shrugs!]\n\nShould be.', 'FREISHUTZ|1519845863538913280', '2022-06-03T03:14:05.000Z'), ('1532560851315695620', ""@FREISHUTZ Yeah, neither do I. \nHm... D'you think it's dryer safe? Haha. Wouldn't wanna give it back to you soaked."", 'safelydrunk|1510080753878675459', '2022-06-03T03:12:35.000Z'), ('1532560228851453953', ""@safelydrunk [Waving a hand.]\n\nIt's fine. Not like I have any towels on hand."", 'FREISHUTZ|1519845863538913280', '2022-06-03T03:10:06.000Z'), ('1532558918077095943', ""@FREISHUTZ Yeah, probably. \n\n...!\n\n[Blinking slowly... He gives a little smile.]\n\nHey, thanks... You don't gotta do this. Your coat'll get all wet."", 'safelydrunk|1510080753878675459', '2022-06-03T03:04:54.000Z'), ('1532557127440400384', ""@safelydrunk Maybe you're immune to water.\n\n[Ah- he's taking his coat off and draping it over Netzach.]"", 'FREISHUTZ|1519845863538913280', '2022-06-03T02:57:47.000Z'), ('1532554557225672710', ""@FREISHUTZ Fair enough. I try not to question most things. Like how I'm not short-circuiting right now. \n\n[Still dripping wet]"", 'safelydrunk|1510080753878675459', '2022-06-03T02:47:34.000Z'), ('1532553762350346240', ""@safelydrunk I don't question it."", 'FREISHUTZ|1519845863538913280', '2022-06-03T02:44:25.000Z'), ('1532551211198685195', ""@FREISHUTZ So you don't really know how it works either, huh..."", 'safelydrunk|1510080753878675459', '2022-06-03T02:34:16.000Z'), ('1532550106779557888', '@safelydrunk [Shrugs!]', 'FREISHUTZ|1519845863538913280', '2022-06-03T02:29:53.000Z'), ('1532548281485729792', ""@FREISHUTZ I know that now. I just didn't know because, uh...\n\n[Gesturing to his Head(?)]\n\nY'know."", 'safelydrunk|1510080753878675459', '2022-06-03T02:22:38.000Z'), ('1532547401625415681', '@safelydrunk I can do most things any normal man can do.', 'FREISHUTZ|1519845863538913280', '2022-06-03T02:19:08.000Z'), ('1532544033515520001', ""@FREISHUTZ I dunno. Never really thought about it. I didn't know you could drink stuff either until the other day."", 'safelydrunk|1510080753878675459', '2022-06-03T02:05:45.000Z'), ('1532543378826874880', ""@safelydrunk Hm? Of course I can. Why wouldn't I be able to?"", 'FREISHUTZ|1519845863538913280', '2022-06-03T02:03:09.000Z'), ('1532543017638314019', ""@FREISHUTZ I didn't know you could. And all I had to do was get water thrown on me, huh..."", 'safelydrunk|1510080753878675459', '2022-06-03T02:01:43.000Z'), ('1532542123026747393', '@safelydrunk Hah- perhaps.', 'FREISHUTZ|1519845863538913280', '2022-06-03T01:58:10.000Z'), ('1532537216047661072', '@FREISHUTZ !!\n\nDid you just laugh?', 'safelydrunk|1510080753878675459', '2022-06-03T01:38:40.000Z'), ('1532535027421941760', '@safelydrunk .....\n\n[Pfft..]', 'FREISHUTZ|1519845863538913280', '2022-06-03T01:29:58.000Z'), ('1532532531375005696', '[Dripping wet and looking like a sad dog]', 'safelydrunk|1510080753878675459', '2022-06-03T01:20:03.000Z')]"
